fields_cust_id,feature_id,user_id,fields_value,lang_id,created_at,updated_at
383,56,19814,Música urbana,3,2019-07-21 06:08:51.0,2019-07-21 06:08:51.0
384,56,19818,Regueton,3,2019-07-21 09:36:23.0,2019-07-21 09:36:23.0
387,56,19925,Aren beat,3,2019-07-23 15:17:26.0,2019-07-23 15:17:26.0
388,305,18540,Psicologia,1,2019-07-23 19:15:43.0,2019-07-23 19:15:43.0
389,226,19215,Judo,3,2019-07-24 04:24:10.0,2019-07-24 04:24:10.0
390,359,19981,Audacity,3,2019-07-25 18:21:43.0,2019-07-25 18:21:43.0
391,56,20049,Todos,3,2019-07-30 14:41:36.0,2019-07-30 14:41:36.0
394,56,20062,Música urbana,3,2019-07-31 16:11:56.0,2019-07-31 16:11:56.0
395,56,20065,Regaetton,3,2019-07-31 17:22:40.0,2019-07-31 17:22:40.0
397,56,20102,Baladas,3,2019-08-02 05:53:28.0,2019-08-02 05:53:28.0
398,56,20102,Baladas,3,2019-08-02 05:53:31.0,2019-08-02 05:53:31.0
399,56,20102,Baladas,3,2019-08-02 05:53:34.0,2019-08-02 05:53:34.0
401,56,20133,Regueton,3,2019-08-07 18:53:29.0,2019-08-07 18:53:29.0
402,172,20178,Batería,3,2019-08-08 13:09:18.0,2019-08-08 13:09:18.0
403,199,20198,Comedias,3,2019-08-10 12:46:31.0,2019-08-10 12:46:31.0
404,199,20198,Musicales,3,2019-08-10 12:47:17.0,2019-08-10 12:47:17.0
405,56,20221,Musica ulbana,3,2019-08-12 00:17:31.0,2019-08-12 00:17:31.0
407,305,20230,Contabilidad y finanzas,3,2019-08-12 15:00:12.0,2019-08-12 15:00:12.0
408,305,20230,Contabilidad y finanzas,3,2019-08-12 15:00:12.0,2019-08-12 15:00:12.0
409,152,20272,Fl,3,2019-08-15 05:46:27.0,2019-08-15 05:46:27.0
410,152,20272,Cubase,3,2019-08-15 05:46:54.0,2019-08-15 05:46:54.0
412,56,20341,Latin,3,2019-08-19 17:14:24.0,2019-08-19 17:14:24.0
