module_id,title,sub_title,linked_type,order_no,status,created_at,updated_at
122,"{""en"": ""Academic Writing"", ""es"": ""Escritura Académica""}","{""en"": ""."", ""es"": "".""}",3,109,1,2018-06-15 17:48:11.0,2018-09-27 19:39:09.0
123,"{""en"": ""Reporting Information"", ""es"": ""Información de Reportaje""}","{""en"": ""."", ""es"": "".""}",3,110,1,2018-06-15 17:59:15.0,2018-09-27 19:39:09.0
124,"{""en"": ""Scout Information"", ""es"": ""Información de Cazatalentos""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,111,1,2018-06-15 18:03:29.0,2018-10-09 19:13:21.0
125,"{""en"": ""Sculpting Information"", ""es"": ""Información de Escultura""}","{""en"": ""."", ""es"": "".""}",3,112,1,2018-06-15 18:07:05.0,2018-09-27 19:39:09.0
126,"{""en"": ""Painting Information"", ""es"": ""Información de Pintura""}","{""en"": ""."", ""es"": "".""}",3,113,1,2018-06-15 18:25:07.0,2018-09-27 19:39:09.0
127,"{""en"": ""Drawing Information"", ""es"": ""Información de Dibujo""}","{""en"": ""."", ""es"": "".""}",3,114,1,2018-06-15 18:31:38.0,2018-09-27 19:39:09.0
128,"{""en"": ""Architecture Information"", ""es"": ""Información de Arquitectura""}","{""en"": ""."", ""es"": "".""}",3,115,1,2018-06-15 18:37:51.0,2018-09-27 19:39:09.0
129,"{""en"": ""Interior Design"", ""es"": ""Diseño de Interiores""}","{""en"": ""."", ""es"": "".""}",3,116,1,2018-06-15 18:43:27.0,2018-09-27 19:39:09.0
130,"{""en"": ""Industrial Design Information"", ""es"": ""Información de Diseño Industrial""}","{""en"": ""."", ""es"": "".""}",3,117,1,2018-06-15 18:47:23.0,2018-09-28 14:58:51.0
131,"{""en"": ""Culinary Experience"", ""es"": ""Experiencia Gastronómica""}","{""en"": ""."", ""es"": "".""}",3,118,1,2018-06-15 18:54:08.0,2018-09-27 19:39:09.0
132,"{""en"": ""Chef Information"", ""es"": ""Información de Chef""}","{""en"": ""."", ""es"": "".""}",3,119,1,2018-06-15 19:01:12.0,2018-09-27 19:39:09.0
133,"{""en"": ""Butchery Information"", ""es"": ""Información de Carnicería""}","{""en"": ""Butcher information"", ""es"": ""Información de carnicero""}",3,120,1,2018-06-15 19:12:41.0,2018-09-28 15:08:04.0
134,"{""en"": ""Pastry Information"", ""es"": ""Información de Repostería""}","{""en"": ""."", ""es"": "".""}",3,121,1,2018-06-15 19:19:29.0,2018-09-27 19:39:09.0
135,"{""en"": ""Baking Information"", ""es"": ""Información de Panadería""}","{""en"": ""."", ""es"": "".""}",3,122,1,2018-06-15 19:31:54.0,2018-09-27 19:39:09.0
